Blend_ID,Time_min,citronellal_frac,citronellol_frac,geraniol_frac
Blend_1,0,0.373579592,0.291271429,0.33514898
Blend_1,180,0.2301,0.4054,0.3645
Blend_1,360,0.1295,0.4565,0.4140
Blend_1,540,0.0873,0.4569,0.4558
Blend_1,720,0.0681,0.5510,0.3808
Blend_10,0,0.291814286,0.2272,0.480985714
Blend_10,180,0.2100,0.3090,0.4811
Blend_10,360,0.1450,0.3851,0.4699
Blend_10,540,0.0505,0.4619,0.4876
Blend_10,720,0.0379,0.4307,0.5314
Blend_11,0,0.502467347,0.2272,0.270332653
Blend_11,180,0.2900,0.3562,0.3538
Blend_11,360,0.1924,0.4177,0.3899
Blend_11,540,0.0693,0.5014,0.4293
Blend_11,720,0.0566,0.5565,0.3870
Blend_12,0,0.430783673,0.3637,0.205516327
Blend_12,180,0.2396,0.5393,0.2211
Blend_12,360,0.1638,0.5675,0.2687
Blend_12,540,0.0684,0.6433,0.2883
Blend_12,720,0.0678,0.6878,0.2444
Blend_13,0,0.276110204,0.461659184,0.262230612
Blend_13,180,0.2102,0.5181,0.2717
Blend_13,360,0.0873,0.6127,0.3000
Blend_13,540,0.0454,0.6251,0.3295
Blend_13,720,0.0557,0.6685,0.2759
Blend_14,0,0.627,0.183687755,0.189312245
Blend_14,180,0.3567,0.3421,0.3012
Blend_14,360,0.2180,0.3843,0.3977
Blend_14,540,0.1267,0.4937,0.3796
Blend_14,720,0.0581,0.6122,0.3297
Blend_15,0,0.392032653,0.1999,0.408067347
Blend_15,180,0.2372,0.3072,0.4556
Blend_15,360,0.1247,0.3419,0.5334
Blend_15,540,0.0683,0.4002,0.5315
Blend_15,720,0.0463,0.3860,0.5678
Blend_16,0,0.344338776,0.377226531,0.278434694
Blend_16,180,0.2140,0.4610,0.3250
Blend_16,360,0.1029,0.5557,0.3415
Blend_16,540,0.0532,0.6103,0.3365
Blend_16,720,0.0485,0.5648,0.3868
Blend_2,0,0.627,0.0816,0.2914
Blend_2,180,0.4088,0.1961,0.3951
Blend_2,360,0.2829,0.2477,0.4694
Blend_2,540,0.1383,0.2672,0.5945
Blend_2,720,0.2272,0.2973,0.4755
Blend_3,0,0.1494,0.5275,0.3231
Blend_3,180,0.1361,0.5441,0.3198
Blend_3,360,0.0591,0.5908,0.3501
Blend_3,540,0.0675,0.6307,0.3018
Blend_3,720,0.0953,0.6002,0.3045
Blend_4,0,0.1494,0.3129,0.5377
Blend_4,180,0.1284,0.3724,0.4992
Blend_4,360,0.0651,0.4322,0.5027
Blend_4,540,0.0827,0.4462,0.4711
Blend_4,720,0.0682,0.5052,0.4266
Blend_5,0,0.3807,0.0816,0.5377
Blend_5,180,0.2604,0.1666,0.5730
Blend_5,360,0.1630,0.1893,0.6478
Blend_5,540,0.1010,0.2017,0.6973
Blend_5,720,0.0740,0.1793,0.7467
Blend_6,0,0.363832653,0.495467347,0.1407
Blend_6,180,0.2358,0.5793,0.1850
Blend_6,360,0.1288,0.6847,0.1865
Blend_6,540,0.0770,0.7578,0.1653
Blend_6,720,0.0915,0.7840,0.1245
Blend_7,0,0.5593,0.3,0.1407
Blend_7,180,0.3390,0.4545,0.2065
Blend_7,360,0.2490,0.5519,0.1991
Blend_7,540,0.1079,0.6316,0.2605
Blend_7,720,0.1043,0.0169,0.8788
Blend_8,0,0.481036735,0.1271,0.391863265
Blend_8,180,0.3025,0.2464,0.4511
Blend_8,360,0.1665,0.2840,0.5495
Blend_8,540,0.1111,0.3656,0.5233
Blend_8,720,0.0811,0.3238,0.5951
Blend_9,0,0.22737551,0.380761224,0.391863265
Blend_9,180,0.1718,0.4277,0.4005
Blend_9,360,0.0925,0.4941,0.4134
Blend_9,540,0.0907,0.5342,0.3751
Blend_9,720,0.0349,0.6178,0.3473
