Blend_ID,x_citronellal,x_citronellol,x_geraniol,ED50_mg
Blend_1,0.373579592,0.291271429,0.33514898,4.056131557
Blend_2,0.627,0.0816,0.2914,1.95250334
Blend_3,0.1494,0.5275,0.3231,6.230778956
Blend_4,0.1494,0.3129,0.5377,10.57155316
Blend_5,0.3807,0.0816,0.5377,2.536200138
Blend_6,0.363832653,0.495467347,0.1407,10.32736266
Blend_7,0.5593,0.3,0.1407,11.62606759
Blend_8,0.481036735,0.1271,0.391863265,1.799272166
Blend_9,0.22737551,0.380761224,0.391863265,5.815379854
Blend_10,0.291814286,0.2272,0.480985714,4.500239084
Blend_11,0.502467347,0.2272,0.270332653,4.082486857
Blend_12,0.430783673,0.3637,0.205516327,7.674712986
Blend_13,0.276110204,0.461659184,0.262230612,6.30641861
Blend_14,0.627,0.183687755,0.189312245,6.262811221
Blend_15,0.392032653,0.1999,0.408067347,2.820311228
Blend_16,0.344338776,0.377226531,0.278434694,5.600864542
